Specie_FAO,Peso_medio_ind_kg,kg_2019,kg_2020,kg_2021,kg_2022,kg_2023,Media_kg_5anni,Individui_annui,Percentuale_ind
Eels and elvers live,1.5,1245.79,1347.91,1501.84,633.37,656.27,1077.036,718024.0,0.0351284638414504
"Eels, fresh or chilled",1.5,355.48999999999995,267.24,276.66999999999996,243.6,232.19,275.038,183358.66666666666,0.008970603060644988
"Eels, frozen",1.5,145.71,88.85,124.22,150.35999999999999,213.31,144.49,96326.66666666667,0.004712666745077388
"Eels, smoked",1.5,38.85,36.24,42.37,49.57,38.81,41.168,27445.333333333332,0.0013427300474866486
"European flying squid ""Todarodes sagittatus"", frozen",1.5,27.57,28.43,3.15,0.51,0.82,12.096,8064.0,0.0003945215374659566
"European flying squid ""Todarodes sagittatus"", live, fresh or chilled",1.5,55.239999999999995,96.25999999999999,6.26,1.36,2.23,32.269999999999996,21513.333333333332,0.0010525140553923958
"European flying squid ""Todarodes sagittatus"", smoked, dried, salted/in brine",1.5,0.43,0.02,0.1,0.01,1.0699999999999998,0.32599999999999996,217.3333333333333,1.0632772917815958e-05
"European plaice (Pleuronectes platessa), fresh or chilled",1.5,10656.710000000001,15900.529999999999,13951.11,12508.13,10602.15,12723.725999999999,8482483.999999998,0.4149953657254931
"European plaice fillets, frozen",1.5,5120.59,3909.59,3148.61,3254.27,2630.8,3612.772,2408514.6666666665,0.11783369410995032
"European plaice, frozen",1.5,1801.79,1101.2,1260.45,1389.82,1026.17,1315.886,877257.3333333334,0.04291876387648213
"European sardine , fresh or chilled",1.5,1393.6500000000003,1497.09,777.3700000000001,604.75,583.25,971.2220000000001,647481.3333333334,0.03167724840118728
"European sardine, frozen",1.5,1603.87,2038.2600000000002,3424.9700000000003,1656.8100000000002,2008.47,2146.4759999999997,1430983.9999999998,0.07000917755074211
"European sardine, prepared or preserved, not minced, in oil",1.5,1049.3899999999999,1606.77,1302.04,888.66,483.77,1066.1259999999997,710750.6666666665,0.03477262472324987
"European sardine, prepared or preserved, not minced, nei",1.5,3899.5099999999998,4706.49,3568.93,1787.79,1978.74,3188.2920000000004,2125528.0000000005,0.10398891052665428
"Euthynnus excl. skipjack or stripe-bellied bonitos, fresh or chilled",1.5,277.77,226.96,242.42000000000002,212.72000000000003,264.57,244.888,163258.66666666666,0.007987234645086242
